iter	MultiClass	Accuracy:use_weights=true	Accuracy:use_weights=false
251	0.4622920981	0.8005609993	0.8099546371
252	0.4622705579	0.8006651207	0.8100554435
253	0.4622350745	0.8006596592	0.8100806452
254	0.462203415	0.8005056688	0.8099294355
255	0.4621468268	0.8004810192	0.8099042339
256	0.4620439869	0.8006356761	0.8100554435
257	0.4619738012	0.8005960242	0.8100302419
258	0.4616376784	0.800543869	0.8099294355
259	0.4615414241	0.8005989582	0.8100050403
260	0.4615186776	0.8006803876	0.8100806452
261	0.4614737161	0.8008723807	0.8102570565
262	0.4614737153	0.8008723807	0.8102570565
263	0.4613860482	0.8009509784	0.8103326613
264	0.4612351992	0.8008451665	0.8102570565
265	0.4611098988	0.8008349597	0.8102570565
266	0.4608312033	0.8008916917	0.8103326613
267	0.460721987	0.8009500019	0.8103578629
268	0.460721986	0.8009500019	0.8103578629
269	0.4606283643	0.8009802299	0.8104082661
270	0.4605121832	0.8011410758	0.8105342742
271	0.4603227523	0.8011341175	0.8105342742
272	0.4602305612	0.8010915135	0.810483871
273	0.4600411009	0.8011273098	0.8105342742
274	0.4599871295	0.8012140507	0.810609879
275	0.4598719173	0.8010708472	0.810483871
276	0.4595880679	0.8012685623	0.8106602823
277	0.4594963093	0.8011256528	0.8105090726
278	0.4594556583	0.8012500919	0.8106350806
279	0.459361009	0.8015109878	0.8108870968
280	0.4592253029	0.8015841139	0.8109627016
281	0.4591628769	0.801570142	0.8109375
282	0.4588691042	0.8014833298	0.8108366935
283	0.4587838722	0.8017938973	0.8111643145
284	0.4587411073	0.8018296421	0.8112147177
285	0.45867104	0.8017565136	0.8111391129
286	0.458260534	0.8019452337	0.811265121
287	0.458197729	0.8020068952	0.8113155242
288	0.4581321742	0.8020744144	0.811391129
289	0.4580569501	0.8022752281	0.8115927419
290	0.4578302291	0.8019062957	0.8112399194
291	0.4577902931	0.8021154642	0.8114415323
292	0.4575709343	0.8021295962	0.8114667339
293	0.4574176554	0.8020733479	0.8113155242
294	0.4574110063	0.8021069235	0.8113659274
295	0.4573793447	0.8021443073	0.811391129
296	0.4573603597	0.8020148776	0.8112903226
297	0.4572257849	0.8022653591	0.8115423387
298	0.4571858371	0.8021940992	0.8114919355
299	0.4571655477	0.8023902666	0.8116683468
300	0.4568840206	0.8023387365	0.8115927419
301	0.4566820187	0.8023808246	0.8116431452
302	0.4565642911	0.8023178334	0.8115171371
303	0.4564292504	0.8024664037	0.8116683468
304	0.4564139135	0.8025189578	0.81171875
305	0.4563818029	0.8025865696	0.8117943548
306	0.4563165998	0.8028211667	0.8120211694
307	0.4562736581	0.8027951681	0.8119959677
308	0.4561802672	0.8030071682	0.8121975806
309	0.4561180273	0.8029187331	0.8121219758
310	0.4560721712	0.8029256914	0.8121219758
311	0.4560032188	0.803003243	0.812172379
312	0.4559619342	0.8029921105	0.812172379
313	0.4558490934	0.8031198395	0.8122731855
314	0.4555526716	0.8031810153	0.8123487903
315	0.4555289929	0.8032561013	0.8124243952
316	0.4554081254	0.8031619378	0.8123487903
317	0.4549577963	0.803455009	0.8126260081
318	0.4548611156	0.8035917996	0.8127016129
319	0.4548188157	0.8037389721	0.812827621
320	0.4547310101	0.8038442308	0.8129284274
321	0.4546532142	0.803764144	0.8128528226
322	0.4545796399	0.8038392918	0.812953629
323	0.4545059188	0.8038306765	0.8129284274
324	0.4542696437	0.8039802786	0.8130796371
325	0.4542198583	0.804048102	0.8131552419
326	0.4541062699	0.8043912539	0.8134828629
327	0.4540517733	0.8044250785	0.8135080645
328	0.4540278552	0.8044098709	0.8135080645
329	0.4539829754	0.8043412208	0.8134324597
330	0.4539391181	0.80433622	0.8134324597
331	0.4538853539	0.8043370466	0.8134324597
332	0.4536034705	0.804692588	0.8137096774
333	0.4535723939	0.8046069844	0.8136340726
334	0.4535381336	0.8045822358	0.813608871
335	0.4534972428	0.8046207132	0.8136592742
336	0.4534355444	0.8046046237	0.8136340726
337	0.4533465448	0.8047708814	0.8137852823
338	0.4532125222	0.8044997207	0.8135332661
339	0.4531222674	0.8047590149	0.8137852823
340	0.4530428529	0.8047770541	0.8137852823
341	0.4529735886	0.805009998	0.8140120968
342	0.4526051158	0.8051510323	0.8141381048
343	0.4525238675	0.8050603829	0.8140625
344	0.4521314531	0.8055646612	0.8144909274
345	0.4520687021	0.8055685762	0.8144909274
346	0.4519915185	0.805529583	0.8144405242
347	0.451898531	0.8057933248	0.8147177419
348	0.4518252931	0.8056834827	0.8146421371
349	0.4518044631	0.8057502642	0.8146925403
350	0.451537469	0.8059199241	0.81484375
351	0.4515291241	0.805983033	0.8148689516
352	0.4514295794	0.8058658732	0.8147681452
353	0.4513715604	0.8058010415	0.8146925403
354	0.4513260223	0.8058929986	0.8147933468
355	0.4512990518	0.8058392146	0.8147429435
356	0.4511577565	0.8059625678	0.8148689516
357	0.4510691166	0.8058553954	0.8147429435
358	0.4510058606	0.8060191798	0.8148941532
359	0.450949086	0.806022739	0.8148941532
360	0.4508943444	0.8058875256	0.8147681452
361	0.4508146466	0.8060803016	0.8149697581
362	0.4507799221	0.8060640184	0.8149949597
363	0.4507668822	0.8060994447	0.8150201613
364	0.4507065918	0.8061382225	0.8150453629
365	0.4505359329	0.806477511	0.8153729839
366	0.4503533268	0.8063594627	0.8152469758
367	0.4502723778	0.8064564104	0.8153225806
368	0.4501472192	0.8065088482	0.8153477823
369	0.4499097705	0.8068681334	0.8156754032
370	0.4498130466	0.8068329663	0.8156502016
371	0.4497112967	0.8069451253	0.8157510081
372	0.4493057271	0.8068598325	0.8156754032
373	0.4492352308	0.8067589223	0.8155997984
374	0.4491143469	0.8069858709	0.8158014113
375	0.4490083538	0.8070756011	0.8158770161
376	0.4489896288	0.8069968568	0.8158014113
377	0.4487582156	0.8072217898	0.8160030242
378	0.4486854572	0.8070986855	0.8158518145
379	0.4486597088	0.8071837732	0.8159274194
380	0.4485764822	0.8071485508	0.8158770161
381	0.4485056925	0.8073799368	0.816078629
382	0.4484021601	0.807340544	0.8160534274
383	0.4483274838	0.8074172832	0.8161290323
384	0.4482820529	0.8073705501	0.816078629
385	0.4482022833	0.8074508859	0.8161290323
386	0.4481835864	0.8075259719	0.8162046371
387	0.448138286	0.8076817044	0.8163306452
388	0.4479876486	0.8077196556	0.8163558468
389	0.447936413	0.8076947055	0.8163558468
390	0.4476213735	0.8078657422	0.8164818548
391	0.4474254931	0.8081327223	0.816733871
392	0.447373153	0.808275669	0.816859879
393	0.4472697109	0.8083651425	0.8169354839
394	0.4471158717	0.8083386178	0.8168850806
395	0.4466364849	0.8086370379	0.8171370968
396	0.4465124312	0.8087940691	0.8172883065
397	0.4464509179	0.8089051591	0.8174143145
398	0.4464303479	0.8088444168	0.8173639113
399	0.4462590704	0.8090151632	0.8175403226
400	0.4461229379	0.8090445543	0.8175655242
401	0.4460966335	0.8090630722	0.8175907258
402	0.4460499984	0.8090021182	0.8175403226
403	0.4459823295	0.8091016384	0.8176159274
404	0.4459521513	0.8090057663	0.817515121
405	0.4458133929	0.8092901951	0.8178175403
406	0.4457485324	0.8090966891	0.8176159274
407	0.4455458593	0.8092213669	0.8176915323
408	0.445545039	0.8092213669	0.8176915323
409	0.4454882975	0.8093248734	0.8177923387
410	0.4454520173	0.8093274458	0.8177923387
411	0.4454071288	0.8094753459	0.8179183468
412	0.4453746764	0.8094248721	0.8178931452
413	0.4452795986	0.8095409527	0.8179939516
414	0.4451872789	0.8094154404	0.8178931452
415	0.4451061478	0.8094985268	0.8179939516
416	0.4445533838	0.8099595078	0.8183971774
417	0.4444996188	0.8098765893	0.8183215726
418	0.4442820577	0.8102109143	0.8186239919
419	0.4441874044	0.8100440255	0.8184727823
420	0.4441222445	0.810072296	0.8185231855
421	0.4440560061	0.8099479584	0.8183971774
422	0.4440156727	0.810078171	0.8185231855
423	0.4439783782	0.8099792003	0.8183971774
424	0.4439237936	0.810099107	0.8185231855
425	0.4438541724	0.8103645394	0.8187752016
426	0.4437642639	0.8102229827	0.8186491935
427	0.4436846872	0.8102460305	0.8186743952
428	0.443569708	0.8101825786	0.8185735887
429	0.4435151314	0.8102158025	0.8186239919
430	0.4434223674	0.8100825941	0.8184979839
431	0.4433592914	0.8101615874	0.8185483871
432	0.4432932368	0.8100133831	0.818422379
433	0.4431943824	0.8103562005	0.8187247984
434	0.4431235421	0.8104764552	0.8188256048
435	0.4430362344	0.8105521799	0.8189264113
436	0.4427531737	0.8107183387	0.819077621
437	0.442555942	0.8108151602	0.819203629
438	0.4424748636	0.8108660851	0.819203629
439	0.442352959	0.8106433042	0.8190020161
440	0.4419965279	0.8110793287	0.8194052419
441	0.4419545325	0.8111544147	0.8194808468
442	0.4419022215	0.8110638103	0.8194052419
443	0.4418783801	0.8111305918	0.8194556452
444	0.4415040101	0.811317806	0.8196572581
445	0.4414336921	0.8112301934	0.8195816532
446	0.4413991281	0.8112293668	0.8195816532
447	0.4413497619	0.8112718029	0.8196068548
448	0.4411498576	0.8112556144	0.8195816532
449	0.4410868335	0.8111977037	0.81953125
450	0.440558303	0.8116335128	0.8199092742
451	0.440508208	0.8118042039	0.8200604839
452	0.4404757119	0.8117135996	0.819984879
453	0.4403480361	0.8115131454	0.8198084677
454	0.4402625874	0.8117015278	0.819984879
455	0.4401298502	0.8118211676	0.8200856855
456	0.4400134519	0.8117681857	0.819984879
457	0.4399691356	0.811783971	0.8200100806
458	0.439864344	0.8117922203	0.8200100806
459	0.4397886919	0.8118551318	0.8200604839
460	0.4397079778	0.8120010744	0.8201864919
461	0.4396524064	0.8121398469	0.8203125
462	0.4395849801	0.8121559802	0.8203125
463	0.4395441277	0.812221935	0.8203629032
464	0.439229635	0.8124145098	0.8205645161
465	0.4392026217	0.81249764	0.820640121
466	0.4386460288	0.8125060939	0.820640121
467	0.4385966496	0.8125703954	0.8206905242
468	0.4385890325	0.8125213015	0.820640121
469	0.4385467753	0.812642294	0.820766129
470	0.4384596316	0.8126552501	0.8207913306
471	0.4381801088	0.8128065492	0.8209173387
472	0.4381401856	0.8129152444	0.8209929435
473	0.4381260166	0.8129166859	0.8209929435
474	0.438080807	0.8128322133	0.8209173387
475	0.4380413551	0.8128670323	0.8209677419
476	0.437683712	0.813259695	0.8213457661
477	0.4376458059	0.8133693332	0.8214465726
478	0.4376013873	0.8133657739	0.8214465726
479	0.4375607207	0.8133126487	0.8213709677
480	0.4375224591	0.8133176057	0.8213961694
481	0.4374810079	0.8134231687	0.8214969758
482	0.4374016438	0.8132530925	0.8213457661
483	0.4372999738	0.8133079148	0.8213961694
484	0.437260832	0.8132619633	0.8213457661
485	0.4372211465	0.8133675262	0.8214465726
486	0.4371873344	0.8134379594	0.8214969758
487	0.4370427887	0.8135198532	0.8215725806
488	0.4370262672	0.8136508923	0.8216985887
489	0.4370019262	0.8136633776	0.8217237903
